Description	Resource	Path	Location	Type
#1376-D (MISRA-C:2004 1.1/R) Ensure strict ANSI C mode (-ps) is enabled	.ccsproject	/StopWatch	line 57, external location: C:\ti\ccsv8\tools\compiler\ti-cgt-arm_18.1.4.LTS\include\machine\_types.h	C/C++ Problem
#1376-D (MISRA-C:2004 1.1/R) Ensure strict ANSI C mode (-ps) is enabled	SW_Timer.c	/StopWatch/Complex Drivers	line 9	C/C++ Problem
#1376-D (MISRA-C:2004 1.1/R) Ensure strict ANSI C mode (-ps) is enabled	StopWatch.h	/StopWatch/Application	line 43	C/C++ Problem
#1376-D (MISRA-C:2004 1.1/R) Ensure strict ANSI C mode (-ps) is enabled	std_types.h	/StopWatch/Service	line 33	C/C++ Problem
#1376-D (MISRA-C:2004 1.1/R) Ensure strict ANSI C mode (-ps) is enabled	util.h	/StopWatch/Service	line 11	C/C++ Problem
#1383-D (MISRA-C:2004 8.1/R) Functions shall have prototype declarations and the prototype shall be visible at both the function definition and call	SW_Timer.c	/StopWatch/Complex Drivers	line 9	C/C++ Problem
#1383-D (MISRA-C:2004 8.1/R) Functions shall have prototype declarations and the prototype shall be visible at both the function definition and call	main.c	/StopWatch	line 47	C/C++ Problem
#1390-D (MISRA-C:2004 9.1/R) All automatic variables shall have been assigned a value before being used (variable "buff")	lcd.c	/StopWatch/HAL	line 231	C/C++ Problem
#1405-D (MISRA-C:2004 12.5/R) The operands of a logical && or || shall be primary-expressions	gpio.c	/StopWatch/MCAL	line 46	C/C++ Problem
#1405-D (MISRA-C:2004 12.5/R) The operands of a logical && or || shall be primary-expressions	keypad.c	/StopWatch/HAL	line 148	C/C++ Problem
#1409-D (MISRA-C:2004 12.13/A) The increment (++) and decrement (--) operators should not be mixed with other operators in an expression	util.c	/StopWatch/Service	line 18	C/C++ Problem
#1409-D (MISRA-C:2004 12.13/A) The increment (++) and decrement (--) operators should not be mixed with other operators in an expression	util.c	/StopWatch/Service	line 21	C/C++ Problem
#1409-D (MISRA-C:2004 12.13/A) The increment (++) and decrement (--) operators should not be mixed with other operators in an expression	util.c	/StopWatch/Service	line 30	C/C++ Problem
#1409-D (MISRA-C:2004 12.13/A) The increment (++) and decrement (--) operators should not be mixed with other operators in an expression	util.c	/StopWatch/Service	line 41	C/C++ Problem
#1410-D (MISRA-C:2004 13.1/R) Assignment operators shall not be used in expressions that yield a Boolean value	util.c	/StopWatch/Service	line 14	C/C++ Problem
#1410-D (MISRA-C:2004 13.1/R) Assignment operators shall not be used in expressions that yield a Boolean value	util.c	/StopWatch/Service	line 19	C/C++ Problem
#1422-D (MISRA-C:2004 16.9/R) A function identifier shall only be used with either a preceding &, or with a parenthesised parameter list, which may be empty (function "FaultISR")	tm4c1231h6pm_startup_ccs.c	/StopWatch	line 76	C/C++ Problem
#1422-D (MISRA-C:2004 16.9/R) A function identifier shall only be used with either a preceding &, or with a parenthesised parameter list, which may be empty (function "GPIOB_Handler")	tm4c1231h6pm_startup_ccs.c	/StopWatch	line 90	C/C++ Problem
#1422-D (MISRA-C:2004 16.9/R) A function identifier shall only be used with either a preceding &, or with a parenthesised parameter list, which may be empty (function "GPIOF_Handler")	tm4c1231h6pm_startup_ccs.c	/StopWatch	line 119	C/C++ Problem
#1422-D (MISRA-C:2004 16.9/R) A function identifier shall only be used with either a preceding &, or with a parenthesised parameter list, which may be empty (function "IntDefaultHandler")	tm4c1231h6pm_startup_ccs.c	/StopWatch	line 77	C/C++ Problem
#1422-D (MISRA-C:2004 16.9/R) A function identifier shall only be used with either a preceding &, or with a parenthesised parameter list, which may be empty (function "IntDefaultHandler")	tm4c1231h6pm_startup_ccs.c	/StopWatch	line 78	C/C++ Problem
#1422-D (MISRA-C:2004 16.9/R) A function identifier shall only be used with either a preceding &, or with a parenthesised parameter list, which may be empty (function "IntDefaultHandler")	tm4c1231h6pm_startup_ccs.c	/StopWatch	line 79	C/C++ Problem
#1422-D (MISRA-C:2004 16.9/R) A function identifier shall only be used with either a preceding &, or with a parenthesised parameter list, which may be empty (function "IntDefaultHandler")	tm4c1231h6pm_startup_ccs.c	/StopWatch	line 84	C/C++ Problem
#1422-D (MISRA-C:2004 16.9/R) A function identifier shall only be used with either a preceding &, or with a parenthesised parameter list, which may be empty (function "IntDefaultHandler")	tm4c1231h6pm_startup_ccs.c	/StopWatch	line 85	C/C++ Problem
#1422-D (MISRA-C:2004 16.9/R) A function identifier shall only be used with either a preceding &, or with a parenthesised parameter list, which may be empty (function "IntDefaultHandler")	tm4c1231h6pm_startup_ccs.c	/StopWatch	line 87	C/C++ Problem
#1422-D (MISRA-C:2004 16.9/R) A function identifier shall only be used with either a preceding &, or with a parenthesised parameter list, which may be empty (function "IntDefaultHandler")	tm4c1231h6pm_startup_ccs.c	/StopWatch	line 89	C/C++ Problem
#1422-D (MISRA-C:2004 16.9/R) A function identifier shall only be used with either a preceding &, or with a parenthesised parameter list, which may be empty (function "IntDefaultHandler")	tm4c1231h6pm_startup_ccs.c	/StopWatch	line 91	C/C++ Problem
#1422-D (MISRA-C:2004 16.9/R) A function identifier shall only be used with either a preceding &, or with a parenthesised parameter list, which may be empty (function "IntDefaultHandler")	tm4c1231h6pm_startup_ccs.c	/StopWatch	line 92	C/C++ Problem
#1422-D (MISRA-C:2004 16.9/R) A function identifier shall only be used with either a preceding &, or with a parenthesised parameter list, which may be empty (function "IntDefaultHandler")	tm4c1231h6pm_startup_ccs.c	/StopWatch	line 93	C/C++ Problem
#1422-D (MISRA-C:2004 16.9/R) A function identifier shall only be used with either a preceding &, or with a parenthesised parameter list, which may be empty (function "IntDefaultHandler")	tm4c1231h6pm_startup_ccs.c	/StopWatch	line 94	C/C++ Problem
#1422-D (MISRA-C:2004 16.9/R) A function identifier shall only be used with either a preceding &, or with a parenthesised parameter list, which may be empty (function "IntDefaultHandler")	tm4c1231h6pm_startup_ccs.c	/StopWatch	line 95	C/C++ Problem
