Description	Resource	Path	Location	Type
(MISRA-C:2004 1.1/R) Ensure strict ANSI C mode (-ps) is enabled	.ccsproject	/Mega_Project	line 57, external location: C:\ti\ccsv8\tools\compiler\ti-cgt-arm_18.1.4.LTS\include\machine\_types.h	C/C++ Problem
(MISRA-C:2004 1.1/R) Ensure strict ANSI C mode (-ps) is enabled	Button.h	/Mega_Project/HAL/Button	line 15	C/C++ Problem
(MISRA-C:2004 1.1/R) Ensure strict ANSI C mode (-ps) is enabled	std_types.h	/Mega_Project/GeneralFunctions	line 36	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	ADC.c	/Mega_Project/MCAL/ADC	line 45	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	ADC.c	/Mega_Project/MCAL/ADC	line 46	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	ADC.c	/Mega_Project/MCAL/ADC	line 57	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	ADC.c	/Mega_Project/MCAL/ADC	line 58	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	ADC.c	/Mega_Project/MCAL/ADC	line 61	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	ADC.c	/Mega_Project/MCAL/ADC	line 62	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	ADC.c	/Mega_Project/MCAL/ADC	line 63	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	ADC.c	/Mega_Project/MCAL/ADC	line 68	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	ADC.c	/Mega_Project/MCAL/ADC	line 69	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	ADC.c	/Mega_Project/MCAL/ADC	line 70	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	ADC.c	/Mega_Project/MCAL/ADC	line 72	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	ADC.c	/Mega_Project/MCAL/ADC	line 73	C/C++ Problem
